time,solar,demand,price,carbon_intensity
2023-01-01 00:00:00,0.0,2.5,0.12,200
2023-01-01 01:00:00,0.0,2.0,0.11,180
2023-01-01 02:00:00,0.0,1.8,0.10,170
2023-01-01 03:00:00,0.0,1.5,0.09,160
2023-01-01 04:00:00,0.0,1.2,0.08,150
2023-01-01 05:00:00,0.0,1.0,0.07,140
2023-01-01 06:00:00,0.5,1.5,0.08,160
2023-01-01 07:00:00,2.0,3.0,0.10,180
2023-01-01 08:00:00,4.0,4.5,0.12,200
2023-01-01 09:00:00,6.0,5.0,0.15,220
2023-01-01 10:00:00,8.0,5.5,0.18,250
2023-01-01 11:00:00,9.0,6.0,0.20,280
2023-01-01 12:00:00,10.0,6.5,0.22,300
2023-01-01 13:00:00,9.5,6.0,0.20,280
2023-01-01 14:00:00,8.0,5.5,0.18,250
2023-01-01 15:00:00,6.0,5.0,0.15,220
2023-01-01 16:00:00,4.0,4.5,0.12,200
2023-01-01 17:00:00,2.0,4.0,0.10,180
2023-01-01 18:00:00,0.5,3.5,0.09,170
2023-01-01 19:00:00,0.0,3.0,0.08,160
2023-01-01 20:00:00,0.0,2.8,0.07,150
2023-01-01 21:00:00,0.0,2.5,0.08,160
2023-01-01 22:00:00,0.0,2.2,0.09,170
2023-01-01 23:00:00,0.0,2.0,0.10,180
