time,solar,demand,price,carbon_intensity
2024-01-01 00:00:00,0.000,2.375,0.1136,259.35
2024-01-01 01:00:00,0.000,1.944,0.1083,254.78
2024-01-01 02:00:00,0.000,1.614,0.1062,267.98
2024-01-01 03:00:00,0.000,1.236,0.1002,252.71
2024-01-01 04:00:00,0.000,1.017,0.0993,264.95
2024-01-01 05:00:00,0.000,0.848,0.0969,260.45
2024-01-01 06:00:00,0.000,0.779,0.0951,252.33
2024-01-01 07:00:00,1.437,0.855,0.0974,249.83
2024-01-01 08:00:00,2.715,0.986,0.0973,224.64
2024-01-01 09:00:00,4.182,1.264,0.1017,220.43
2024-01-01 10:00:00,5.263,1.559,0.1038,200.01
2024-01-01 11:00:00,6.422,1.937,0.1080,188.97
2024-01-01 12:00:00,7.719,2.389,0.1141,184.81
2024-01-01 13:00:00,9.012,2.869,0.1205,182.51
2024-01-01 14:00:00,9.168,3.128,0.1213,162.39
2024-01-01 15:00:00,9.881,3.473,0.1254,157.88
2024-01-01 16:00:00,10.761,3.815,0.1303,159.76
2024-01-01 17:00:00,11.394,4.051,0.1338,161.88
2024-01-01 18:00:00,11.085,4.019,0.1324,155.19
2024-01-01 19:00:00,10.793,3.921,0.1309,153.34
2024-01-01 20:00:00,11.131,3.894,0.1321,165.26
2024-01-01 21:00:00,9.702,3.435,0.1245,155.01
2024-01-01 22:00:00,9.868,3.269,0.1250,174.79
2024-01-01 23:00:00,8.543,2.779,0.1180,173.01
2024-01-02 00:00:00,0.000,2.396,0.1126,255.59
2024-01-02 01:00:00,0.000,2.005,0.1107,268.26
2024-01-02 02:00:00,0.000,1.616,0.1062,259.63
2024-01-02 03:00:00,0.000,1.241,0.1038,256.03
2024-01-02 04:00:00,0.000,0.985,0.0983,263.72
2024-01-02 05:00:00,0.000,0.848,0.0964,263.84
2024-01-02 06:00:00,0.000,0.789,0.0977,263.47
2024-01-02 07:00:00,1.387,0.870,0.0980,248.60
2024-01-02 08:00:00,2.853,1.026,0.0984,229.98
2024-01-02 09:00:00,4.137,1.276,0.1027,216.44
2024-01-02 10:00:00,5.362,1.606,0.1052,213.01
2024-01-02 11:00:00,7.000,2.005,0.1111,193.58
2024-01-02 12:00:00,8.164,2.349,0.1127,189.47
2024-01-02 13:00:00,8.329,2.804,0.1176,181.81
2024-01-02 14:00:00,9.869,3.135,0.1252,174.91
2024-01-02 15:00:00,10.268,3.617,0.1261,169.58
2024-01-02 16:00:00,10.499,3.685,0.1284,153.56
2024-01-02 17:00:00,10.670,4.021,0.1330,150.87
2024-01-02 18:00:00,11.192,3.898,0.1327,157.62
2024-01-02 19:00:00,10.859,3.990,0.1296,156.11
